Name,Language,Sex,Age,Email,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Nordic Hamstring",Set,1,bodyweight,0,reps,12,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
"Exercise, Lying Windshield Wiper",Set,1,bodyweight,0,reps,15,,,,
,,,,,,,,,,
Instance of 'Loc',,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Week#2, Day#5 : EMOM",2023-06-14,0,-1,-1,-1,-1,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,10,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Kettlebell Swing",Set,1,reps,10,weight,44,,,,
,,,,,,,,,,
"Exercise, Side Lunges",Set,1,reps,10,weight,12.5,,,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
"Exercise, Medicine Ball Overhead Slam",Set,1,weight,0,reps,0,time,00:00:00,,
,,,,,,,,,,
"Exercise, Incline Push-Up",Set,1,reps,0,bodyweight,0,extraWeight,0,,
,,,,,,,,,,
"Exercise, Box Jump",Set,1,reps,0,bodyweight,0,height,0,,
,,,,,,,,,,
